,a_1,oa_2,ow_0,ow_1,ow_2,diff,ror_ow0,ror_ow1,ror_ow2
191,1,0,3.85714285714286,4.57142857142857,4.85714285714286,1,5,2.71428571428571,2.28571428571429
192,1,0,6.71428571428571,5.28571428571429,3.71428571428571,1,5.28571428571429,5.14285714285714,5.57142857142857
193,1,0,5.14285714285714,3,6.57142857142857,1,4,5,6
194,0,1,6,6.28571428571429,5.42857142857143,-1,5,5.85714285714286,5.71428571428571
195,0,0,4,6,5.57142857142857,0,4,6,5.57142857142857
196,1,1,4.71428571428571,4.28571428571429,5.28571428571429,0,4.71428571428571,4.28571428571429,5.28571428571429
197,1,0,2.42857142857143,2.42857142857143,3.85714285714286,1,5.42857142857143,6,4.71428571428571
198,1,0,6.28571428571429,6.57142857142857,6.42857142857143,1,4.57142857142857,4.71428571428571,4.71428571428571
199,1,0,5,5.85714285714286,5.71428571428571,1,6,6.28571428571429,5.42857142857143
200,0,0,5.28571428571429,6.71428571428571,6.71428571428571,0,5.28571428571429,6.71428571428571,6.71428571428571
201,1,0,3.57142857142857,4.28571428571429,4.14285714285714,1,3.28571428571429,4.42857142857143,4.71428571428571
202,1,1,4.85714285714286,4.42857142857143,5.42857142857143,0,4.85714285714286,4.42857142857143,5.42857142857143
203,1,1,2.28571428571429,2.28571428571429,2.28571428571429,0,2.28571428571429,2.28571428571429,2.28571428571429
204,1,1,6.14285714285714,6.42857142857143,3.85714285714286,0,6.14285714285714,6.42857142857143,3.85714285714286
205,1,1,4,4,4,0,4,4,4
206,1,1,7,6.85714285714286,7,0,7,6.85714285714286,7
207,1,1,6.71428571428571,6.71428571428571,6.28571428571429,0,6.71428571428571,6.71428571428571,6.28571428571429
208,0,1,3.28571428571429,4.42857142857143,4.71428571428571,-1,3.57142857142857,4.28571428571429,4.14285714285714
209,0,0,4.57142857142857,2.42857142857143,2.71428571428571,0,4.57142857142857,2.42857142857143,2.71428571428571
210,0,0,2.71428571428571,3.42857142857143,3.85714285714286,0,2.71428571428571,3.42857142857143,3.85714285714286
211,0,0,4.57142857142857,4.85714285714286,5,0,4.57142857142857,4.85714285714286,5
212,1,1,5,5.28571428571429,4.57142857142857,0,5,5.28571428571429,4.57142857142857
213,0,0,4.85714285714286,2.71428571428571,6.42857142857143,0,4.85714285714286,2.71428571428571,6.42857142857143
214,1,0,2.57142857142857,1.85714285714286,3.71428571428571,1,5.57142857142857,5.14285714285714,2.71428571428571
215,1,0,4.85714285714286,2.85714285714286,2.71428571428571,1,4.28571428571429,2.42857142857143,2.14285714285714
216,1,0,5.57142857142857,4.42857142857143,6.85714285714286,1,6.57142857142857,6.57142857142857,6.57142857142857
217,0,1,5.57142857142857,5.14285714285714,2.71428571428571,-1,2.57142857142857,1.85714285714286,3.71428571428571
218,0,1,4.28571428571429,2.42857142857143,2.14285714285714,-1,4.85714285714286,2.85714285714286,2.71428571428571
219,0,0,3.57142857142857,4,5.14285714285714,0,3.57142857142857,4,5.14285714285714
220,1,1,5.42857142857143,5.42857142857143,5.42857142857143,0,5.42857142857143,5.42857142857143,5.42857142857143
221,1,1,5.14285714285714,4.57142857142857,5.28571428571429,0,5.14285714285714,4.57142857142857,5.28571428571429
222,1,0,6.85714285714286,5.85714285714286,5,1,6,6,6
223,0,1,6.57142857142857,6.57142857142857,6.57142857142857,-1,5.57142857142857,4.42857142857143,6.85714285714286
